l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 4,batch-size: 8,0.2114,0.2012
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['frost'],severity: 4,batch-size: 8,0.2618,0.2588
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['fog'],severity: 4,batch-size: 8,0.3742,0.3674
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['contrast'],severity: 4,batch-size: 8,0.175,0.166
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['elastic_transform'],severity: 4,batch-size: 8,0.3936,0.3946
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['pixelate'],severity: 4,batch-size: 8,0.328,0.4498
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['jpeg_compression'],severity: 4,batch-size: 8,0.4738,0.498
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 5,batch-size: 8,0.047,0.0566
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 5,batch-size: 8,0.0542,0.0676
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 5,batch-size: 8,0.047,0.0576
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['defocus_blur'],severity: 5,batch-size: 8,0.1514,0.1444
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['glass_blur'],severity: 5,batch-size: 8,0.0892,0.0924
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['motion_blur'],severity: 5,batch-size: 8,0.1314,0.1382
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['zoom_blur'],severity: 5,batch-size: 8,0.2282,0.2304
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['brightness'],severity: 5,batch-size: 8,0.5558,0.5482
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 5,batch-size: 8,0.1562,0.1536
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['frost'],severity: 5,batch-size: 8,0.203,0.201
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['fog'],severity: 5,batch-size: 8,0.2274,0.2198
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['contrast'],severity: 5,batch-size: 8,0.0442,0.0412
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['elastic_transform'],severity: 5,batch-size: 8,0.1476,0.1556
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['pixelate'],severity: 5,batch-size: 8,0.2308,0.3674
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['jpeg_compression'],severity: 5,batch-size: 8,0.3334,0.3956
